Timestamp_ms,ReferenceFrequencyHz,PhaseErrorNs,DACVoltage_V,LockStatus,LockState,PhaseStale,IsLocked
1787754610765,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754610794,35502.957,6202.4,1.6504,1,WAIT ZCD,1,0
1787754610824,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754610855,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754610885,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754610914,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754610945,35502.957,6202.4,1.6504,1,WAIT ZCD,1,0
1787754610975,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611004,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611035,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611065,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611094,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611125,35502.957,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611155,35502.957,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611184,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611215,35502.957,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611245,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611275,35502.957,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611305,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611335,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611364,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611394,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611425,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611455,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611485,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611514,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611544,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611574,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611605,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611635,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611664,35502.957,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611695,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611725,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611755,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
1787754611784,35487.961,6202.4,1.6504,1,WAIT ZCD,1,0
