Timestamp_ms,ReferenceFrequencyHz,PhaseErrorNs,DACVoltage_V,LockStatus,LockState,PhaseStale,IsLocked
1789531804265,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804275,33005.895,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804285,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804295,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804305,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804315,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804325,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804335,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804345,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804355,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804365,33005.895,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804375,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804385,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804395,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804405,33005.895,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804415,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804425,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804435,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804445,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804455,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804465,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804475,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804485,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804497,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804505,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804515,33005.895,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804525,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804535,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804545,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804555,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804565,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804575,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804585,32992.930,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804595,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804605,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804615,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804625,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804635,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804645,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804655,33005.895,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804665,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804675,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804685,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804695,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804705,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804715,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804725,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804735,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804745,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804755,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804765,33057.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804775,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804785,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804795,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804805,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804815,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804825,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804835,33005.895,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804845,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804855,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804865,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804875,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804885,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804894,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804905,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804915,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804925,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804935,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804945,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804955,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804965,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804975,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804984,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531804995,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805004,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805015,33005.895,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805025,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805034,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805045,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805055,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805065,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805075,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805085,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805095,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805105,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805115,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805125,33057.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805135,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805145,33005.895,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805155,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805165,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805175,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805185,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805195,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805205,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805215,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805225,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805235,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805245,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805255,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805265,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805275,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805285,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805295,33057.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805305,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805315,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805325,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805335,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805345,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805355,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805365,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805375,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805385,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805394,33018.867,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805405,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805415,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805425,33044.848,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805435,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805445,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805454,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805465,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805475,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805485,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
1789531805494,33031.852,7321.4,1.6504,1,WAIT ZCD,1,0
