Timestamp_ms,ReferenceFrequencyHz,PhaseErrorNs,DACVoltage_V,LockStatus,LockState,PhaseStale,IsLocked
1789530531431,33994.336,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531441,33966.844,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531451,33966.844,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531461,33994.336,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531471,33994.336,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531481,33966.844,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531491,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531501,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531511,33994.336,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531521,33994.336,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531531,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531541,33966.844,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531551,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531561,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531571,33994.336,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531581,33966.844,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531591,33994.336,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531601,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531611,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531621,33966.844,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531631,33966.844,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531641,33994.336,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531651,33994.336,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531661,33966.844,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531671,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531681,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531691,33966.844,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531701,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531711,34008.098,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531721,33966.844,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531731,33966.844,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531741,33953.113,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531751,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531762,33966.844,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531771,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531781,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531791,33966.844,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531801,34008.098,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531811,33994.336,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531821,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531831,33966.844,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531841,33966.844,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531851,33994.336,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531861,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531871,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531881,33994.336,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531891,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531901,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531911,33994.336,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531921,33994.336,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531931,33994.336,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531941,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531951,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531961,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531971,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531981,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530531991,33966.844,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532001,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532012,33953.113,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532021,33966.844,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532031,33994.336,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532041,33994.336,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532051,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532061,33994.336,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532071,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532081,33994.336,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532091,33994.336,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532101,33966.844,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532112,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532121,34008.098,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532131,33994.336,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532141,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532151,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532161,33966.844,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532171,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532181,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532191,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532201,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532211,33994.336,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532221,33994.336,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532231,34008.098,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532241,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532251,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532261,33966.844,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532271,34008.098,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532281,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532291,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532301,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532311,33966.844,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532321,33966.844,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532331,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532341,33966.844,-47.6,1.6504,1,WAIT ZCD,1,0
1789530532351,33980.582,-47.6,1.6504,1,WAIT ZCD,1,0
