Timestamp_ms,ReferenceFrequencyHz,PhaseErrorNs,DACVoltage_V,LockStatus,LockState,PhaseStale,IsLocked
1787798201533,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201535,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201537,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201539,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201541,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201543,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201545,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201547,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201549,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201551,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201553,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201555,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201560,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201560,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201561,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201563,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201565,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201567,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201569,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201571,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201573,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201575,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201577,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201579,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201581,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201583,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201585,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201587,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201589,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201591,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201593,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201595,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201597,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201599,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201601,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201603,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201605,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201607,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201609,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201611,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201613,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201615,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201617,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201619,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201621,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201623,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201625,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201627,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201629,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201631,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201633,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201635,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201637,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201639,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201641,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201643,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201645,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201647,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201649,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201651,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201653,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201655,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201657,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201659,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201661,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201663,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201665,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201667,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201669,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201671,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201673,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201675,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201677,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201679,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201681,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201683,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201685,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201687,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201689,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201691,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201693,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201695,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201697,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201699,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201701,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201703,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201705,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201707,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201709,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201711,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201713,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201715,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201717,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201719,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201721,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201723,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201725,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201727,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201729,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201731,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201733,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201735,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201737,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201739,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201741,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201743,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201745,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201747,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201749,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201751,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201753,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201755,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201757,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201759,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201761,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201763,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201765,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201767,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201769,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201771,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201773,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201775,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201777,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201779,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201781,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201783,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201785,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201787,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201789,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201791,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201793,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201795,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201797,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201799,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201801,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201803,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201805,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201807,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201809,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201811,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201813,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201815,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201817,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201819,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201821,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201823,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201825,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201827,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201829,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201831,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201833,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201835,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201837,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201839,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201841,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201843,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201845,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201847,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201849,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201851,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201853,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201855,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201857,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201859,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201861,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201863,33721.398,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201865,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201867,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
1787798201869,33734.941,5535.7,1.2177,1,WAIT ZCD,1,0
